Total Energy Consumption: 7842.55,
Total Price: 246.093,
Hour, Consumption kw
1057,5.34721
1058,5.22414
1059,5.63262
1060,6.66099
1061,6.9849
1062,6.70226
1063,8.35004
1064,8.17861
1065,5.65331
1066,5.32823
1067,3.11897
1068,3.09952
1069,3.81596
1070,4.24844
1071,4.61088
1072,5.08676
1073,4.11547
1074,3.36112
1075,3.63545
1076,2.99706
1077,3.20948
1078,4.59417
1079,4.6165
1080,5.66665
1081,6.15791
1082,12.3892
1083,8.92628
1084,7.75408
1085,7.66137
1086,10.6178
1087,8.10885
1088,6.63019
1089,6.52801
1090,5.58942
1091,3.40616
1092,3.59601
1093,3.94594
1094,4.20349
1095,4.84382
1096,5.86833
1097,6.26236
1098,4.77592
1099,3.68761
1100,3.56399
1101,4.53607
1102,4.24326
1103,6.43275
1104,5.5904
1105,5.5527
1106,6.00314
1107,6.18098
1108,9.14589
1109,9.83927
1110,8.37775
1111,6.87615
1112,6.27578
1113,5.98879
1114,5.26799
1115,3.27377
1116,3.37762
1117,3.22386
1118,3.63475
1119,4.09785
1120,5.20661
1121,5.38271
1122,6.53766
1123,6.76389
1124,5.49976
1125,3.5482
1126,4.08516
1127,7.11394
1128,7.46031
1129,5.60813
1130,4.99371
1131,6.85496
1132,6.28514
1133,6.91494
1134,8.93576
1135,8.76157
1136,6.38788
1137,5.45783
1138,5.35383
1139,3.34681
1140,3.30333
1141,3.51872
1142,3.70549
1143,4.44493
1144,5.20462
1145,5.21577
1146,4.26353
1147,3.5816
1148,2.99037
1149,3.9742
1150,3.61182
1151,5.76355
1152,5.63755
1153,5.65165
1154,5.70005
1155,5.72921
1156,6.08364
1157,6.72432
1158,6.64469
1159,6.34013
1160,6.43685
1161,6.38448
1162,5.78487
1163,3.35736
1164,3.45457
1165,3.84087
1166,4.40963
1167,4.72452
1168,4.74655
1169,4.16301
1170,3.91271
1171,4.02713
1172,4.26731
1173,5.22942
1174,5.86154
1175,6.17292
1176,7.41272
1177,5.866
